location_code,building,floor,area_name,seat_range,dept,access_level,meal_access,parking_zone,front_desk_phone,notes
LOC-HQ-A1F-001,星云科技园A座,1F,前台接待区,A座大厅,行政部,公共,是,访客停车区,0571-88008000,入职签到第一站
LOC-HQ-A1F-002,星云科技园A座,1F,员工餐厅,1F西侧,行政部,员工,是,—,0571-88008001,午餐11:30-13:30
LOC-HQ-A2F-001,星云科技园A座,2F,培训教室T201,2F东侧,T201,人力资源部,员工,是,—,0571-88008801,入职培训ONB-001
LOC-HQ-A2F-002,星云科技园A座,2F,培训教室T202,2F东侧,T202,人力资源部,员工,是,—,0571-88008802,通用培训教室
LOC-HQ-A2F-003,星云科技园A座,2F,会议室集群,2F中部,M201-M210,共享,员工,是,—,OA预约,8-20人会议室
LOC-HQ-A3F-001,星云科技园A座,3F,HR服务中心,3F南侧,人力资源部,员工,是,—,0571-88008800,入职手续办理
LOC-HQ-A3F-002,星云科技园A座,3F,IT服务窗口,3F南侧,IT运维中心,员工,是,—,0571-88008010,领电脑开账号
LOC-HQ-A3F-003,星云科技园A座,3F,财务共享中心,3F北侧,财务部,财务,是,—,0571-88008810,报销发票咨询
LOC-HQ-A4F-001,星云科技园A座,4F,研发一区,A4F-001~050,研发效能部,研发,是,B1区D-001~100,—,后端研发工位
LOC-HQ-A4F-002,星云科技园A座,4F,研发二区,A4F-051~100,研发效能部,研发,是,B1区D-101~200,—,前端研发工位
LOC-HQ-A5F-001,星云科技园A座,5F,研发三区,A5F-001~080,AI平台部,研发,是,B1区D-201~280,—,AI算法与平台
LOC-HQ-A5F-002,星云科技园A座,5F,研发实验室,A5F-LAB,研发效能部,研发受限,是,—,—,需额外安全审批
LOC-HQ-A6F-001,星云科技园A座,6F,测试与质量,A6F-001~060,质量保障部,研发,是,B1区D-281~340,—,QA测试工位
LOC-HQ-A7F-001,星云科技园A座,7F,基础架构,SRE,A7F-001~040,IT运维中心,运维,是,—,—,运维研发混合
LOC-HQ-A8F-001,星云科技园A座,8F,产品中心,A8F-001~070,产品部,产品,是,B1区E-001~070,—,产品经理工位
LOC-HQ-A9F-001,星云科技园A座,9F,运营市场,A9F-001~080,市场部,市场,是,B1区E-071~150,—,运营市场工位
LOC-HQ-A10F-001,星云科技园A座,10F,销售中心,A10F-001~060,销售部,销售,是,B1区E-151~210,—,销售工位
LOC-HQ-A11F-001,星云科技园A座,11F,管理层办公,A11F-001~020,总裁办,管理层,是,B1区VIP,—,总监级以上
LOC-HQ-A12F-001,星云科技园A座,12F,董事会议室,A12F-MBR,总裁办,管理层受限,是,—,—,董事会专用
LOC-HQ-AB1-001,星云科技园A座,B1,健身房,B1东侧,工会,员工,否,—,—,凭工牌免费
LOC-HQ-AB1-002,星云科技园A座,B1,快递柜,B1西侧,行政部,员工,否,—,—,丰巢/菜鸟
LOC-HQ-AB1-003,星云科技园A座,B1,员工停车场,B1,B1全场,员工,否,B1全场,—,凭车牌录入系统
LOC-HQ-B3F-001,星云科技园B座,3F,客服中心,B3F-001~100,客户服务部,客服,是,B2区,0571-88009000,呼叫中心
LOC-HQ-B5F-001,星云科技园B座,5F,数据中心机房,B5F-IDC,IT运维中心,机房受限,否,—,—,仅授权运维进入
